code_qp,lib_qp
QN06002M,Les Martinets
QN06003I,Les Côteaux
QN06004M,Les Rochers - L'Obier
QN06005M,Bellevue - Belle Visée
QN06006I,Vivier Corax
QN06007M,Clos des Roses
QN06008I,La Victoire
QN06009I,Saint Jean
QN06010I,Saint Lucien
QN06011M,Argentine
QN06012I,Les Terriers
QN06013I,La Nacre - Saint Exupéry
QN06014M,Les Sables
QN06015I,Kennedy
QN06016M,Beauséjour
QN06017M,Mont Saint Siméon
QN06018N,Montupet
QN06019N,Jaurès - Gournay
QN06101M,Les Provinces
QN06102M,Saint Michel - Vallée d'Auge
QN06103M,Saint Michel
QN06104M,Saint-Sauveur - Pont Féron
QN06105M,La Madeleine - Maréchal Leclerc
QN06106M,Perseigne
QN06107M,Courteille
QN06201M,Quartier Du Mieux-Etre
QN06202M,Camus
QN06203M,Plantigeons - Germinal - République
QN06204M,Centre Ville
QN06205M,Quartier Des Cité 5 - Cité De Marles - Cité Du Rond-Point
QN06206M,Quartier Rimbert
QN06207M,Quartier Du Regain
QN06208M,Quartier Du Mont Liébaut
QN06209M,Quartier 3 ilôts
QN06210M,Renaissance
QN06211M,Le Centre
QN06212M,Terrasses Basly
QN06213M,Quartier Coteau Du Stade Parc-Cité 34
QN06214M,Quartier Des Cités 6 Et 30
QN06215M,Quartier Provinces - Longues Trinques
QN06216M,Quartier Saint-Elie - Fosse 13
QN06217M,Le Haut D'Houdain
QN06218M,Terre-Noeve
QN06219M,République - Cité 4
QN06220M,Cité Des Brebis
QN06221M,Cité Du Transvaal - Centre
QN06222M,Cité 5 - Cité 11
QN06223M,Cité Bellevue
QN06224M,Cité 12-14
QN06225M,Grande Résidence
QN06226M,Cité 2
QN06227M,Sellier Cité 4
QN06228M,Calonne - Marichelles - Vent De Bise
QN06229M,Les Hauts De Liévin - Résidence Des Provinces - Cités 9-9bis
QN06230M,Blum - Salengro - 109
QN06231M,3 Cités
QN06232M,Cité 10
QN06233M,Les Blanches Laines Fosse 11 12 13
QN06234M,Quartier du 3/15
QN06235M,Cité Des Taberneaux
QN06236M,Saint-Exupéry - Léon Blum
QN06237M,Quai Du commerce - Saint Sépulcre
QN06238M,Du Village Au Moulin
QN06239M,Rotois - Saint Roch
QN06240M,Cornuault
QN06241M,Macé - Darcy
QN06242M,Ponchelet - Kennedy
QN06243M,La Plaine Du 7
QN06244M,Zac Des Deux Villes
QN06245M,Quartier Du Maroc - La Canche
QN06246M,Nouméa
QN06247M,Languedoc - Cité 10
QN06248M,Quartier De La Haute Voie
QN06249M,Damrémont
QN06250M,Centre Ville
QN06251M,Chemin Vert - Beaurepaire - Malborough
QN06252M,Des résidences Sud du Boulonnais
QN06253M,Fort Nieulay - Cailloux - Saint-Pierre
QN06254M,Beau Marais
QN06255M,Ville Centre
QN06256M,Centre Historique
QN06257M,Quartier De La Renaissance
QN06258M,Quatre As
QN06259M,Quartier Bonnettes - Saint Pol - Baudimont
QN06260M,Quartier Blancs Monts - Hochettes
QN06261M,Saint Michel Goudemand
QN06262M,Cheminots Jean Jaurès Moulin Hacart
QN06263M,Quartier Chanteclair - Cévennes
QN06264N,Les Vérotières
QN06301M,Saint-Jacques
QN06302I,Quartiers Nord
QN06303I,La Gauthière
QN06304I,Fontaine Du Bac
QN06305M,Cournon D'Auvergne
QN06306M,Thiers
QN06307N,Centre
QN06401I,Maubec - Citadelle
QN06402M,Hauts de Sainte-Croix - Mounédé
QN06403M,Saragosse
QN06404M,Ousse des Bois - Berlioz - Le Laü
QN06501M,Solazur
QN06502M,Laubadère
QN06503M,Ormeau/Bel Air - Mouysset
QN06504M,Ophite
QN06601M,Centre Ville
QN06602I,Quartier Saint Assiscle
QN06603I,Quartier Gare
QN06604I,Quartier Bas-Vernet Ancien Zus
QN06605M,Diagonale Du Haut - Moyen-Vernet
QN06606I,Rois De Majorque
QN06607I,Bas-Vernet Nouveau QPV
QN06608I,Quartier Centre Ancien
QN06609M,Quartier Nouveau Logis
QN06610I,Quartier Champs De Mars
QN06701M,Quartier Liberté
QN06702I,Les Pins - Musau
QN06703I,Quartiers Est
QN06704I,Quartiers Ouest
QN06705I,Guirbaden
QN06706I,Libermann
QN06707I,Marais
QN06708I,Hohberg
QN06709M,Molkenbronn
QN06710I,Hautepierre
QN06711M,Koenigshoffen-Est
QN06712I,Cronenbourg
QN06713I,Elsau
QN06714I,Laiterie
QN06715M,Neuhof - Meinau
QN06716I,Cité De L'Ill
QN06717M,Spach - Rotterdam
QN06718I,Ampère
QN06719I,Port Du Rhin
QN06720M,Murhof
QN06721N,Centre
QN06722N,Jura - Citadelle
QN06723N,Risler
QN06724N,Wihrel
QN06801M,Saint Vincent de Paul
QN06802M,Europe - Schweitzer
QN06803M,Les Coteaux
QN06804M,Bourtzwiller
QN06805M,Péricentre
QN06806M,Fonderie - Péricentre
QN06807M,Drouot-Jonquilles
QN06808M,Brustlein
QN06809M,Markstein - La Forêt
QN06810M,Quartier de la Gare
QN06811M,Quartier Bel-Air
QN06901M,Monod - Baratin - Cacard
QN06902M,Centre
QN06903M,Les Pérouses - Compassion
QN06904I,Le Garet
QN06905I,Béligny
QN06906M,Belleroche
QN06907M,Aiguerande
QN06908M,Parilly
QN06909M,Terraillon - Chenier
QN06910M,Les Vernes
QN06911I,La Saulaie
QN06912M,Haute Roche
QN06913M,Minguettes - Clochettes
QN06914M,Arsenal - Carnot - Parmentier
QN06915I,Les Collonges
QN06916M,Grande Île
QN06917I,Sud
QN06918M,Duclos - Barel
QN06919M,Bel Air - Les Brosses
QN06920M,Saint-Jean
QN06921M,Les Buers
QN06922M,Tonkin
QN06923M,Prainet
QN06924I,Le Mathiolan
QN06925M,Ville Nouvelle
QN06926M,Bellevue - Ermitage
QN06927M,Garibaldi
QN06928M,Bel Air
QN06929M,Soeurs Janin
QN06930M,Cités Sociales Gerland
QN06931M,Moulin A Vent
QN06932M,Etats-Unis - Langlet Santy
QN06933I,Mermoz
QN06934M,Duchère
QN06935M,Gorge de Loup - La Vallonière
QN06936M,Les Plaines
QN06937M,Le Vallon
QN06938I,Le Vergoin
QN06939I,Moncey
QN06940I,Les Plantées
QN06941N,La Borelle
QN06942N,Laennec
QN06943N,Monery
QN06944N,Les Sources - Le Pérollier
QN06945N,Les Maronniers
QN06946N,Berthaudière - Sablons - Cornavent
QN06947N,Le Péronnet
QN06948N,Le Roule - Cadière
QN07001M,Rêpes - Montmarin - Grand Grésil
QN07002I,Le Mortard
QN07003M,Stade Messier
QN07004I,Les Chenevières
QN07005M,Les Capucins
QN07101I,Aubépins
QN07102I,Prés Saint Jean
QN07103M,La Chanaye - Résidence
QN07104I,Les Blanchettes
QN07105M,Les Saugeraies - Gautriats
QN07106I,Marbé
QN07107I,Saint Pantaléon
QN07108M,Le Tennis
QN07109M,Rives Du Plessis
QN07110M,Bois Du Verne
QN07111M,Résidence Du Lac
QN07112N,La Molette
QN07201I,Saint Exupéry
QN07202I,Chaoué-Perrières
QN07203M,Bellevue-Carnac
QN07204M,Ronceray - Glonnières - Vauguyon
QN07205M,Sablons - Bords de l'Huisne
QN07206M,Epine
QN07207M,Montreux
QN07301M,Biollay - Bellevue
QN07302M,Les Hauts De Chambéry
QN07303M,Val Des Roses - Contamine - Champ de Mars
QN07401M,Le Perrier - Château Rouge - Livron
QN07402M,Le Chalet - Helvetia-Park - Hutins
QN07403M,Les Ewües
QN07404I,Collonges Sainte-Hélène
QN07405M,Saint Georges - Route De Thairy
QN07406I,Bois Jolivet - Les Iles - Bellerive
QN07501M,Bédier - Boutroux - Villa d'Este
QN07502M,Chaufourniers
QN07503M,Kellermann - Paul Bourget
QN07504M,Oudiné - Chevaleret
QN07505I,Didot - Porte de Vanves
QN07506M,Porte de Brançion - Périchaux
QN07507I,Porte De Saint-Ouen - Porte Pouchet
QN07508M,Blémont
QN07509M,Porte Montmartre - Porte Des Poissonniers - Moskova
QN07510M,La Chapelle - Evangile
QN07511M,Goutte D'Or
QN07512I,Porte De La Chapelle - Charles Hermite
QN07513M,Stalingrad Riquet
QN07514M,Michelet - Alphonse Karr - Rue de Nantes
QN07515M,Danube - Solidarité - Marseillaise
QN07516I,Algérie
QN07517I,Les Portes Du Vingtième
QN07518M,Petit Belleville
QN07519M,Grand Belleville
QN07520M,Les Amandiers
QN07521N,Falguière
QN07601M,Val Druel
QN07602M,Neuville
QN07603I,Les Bruyères
QN07604M,Centre ville
QN07605I,Mont Gaillard - Mare Rouge
QN07606M,Centre Ancien - Quartiers Sud
QN07607I,Bois-De-Bléville
QN07608I,Bléville
QN07609M,Caucriauville Soquence
QN07610M,Plateau
QN07611M,Arts et Fleurs - Feugrais - Novales
QN07612I,Parc du Robec
QN07613M,Centre ville
QN07614M,Quartier BCDM
QN07615M,QPV de Maromme
QN07616M,Quartier Rosa Parks
QN07617M,Bel Air
QN07618M,Quartier de la Piscine
QN07619M,Grammont - Saint Sever - Orléans
QN07620M,Les Hauts de Rouen
QN07621M,Quartier Château Blanc
QN07622M,Quartier Thorez - Grimau
QN07623M,Quartier Hartmann - La Houssière
QN07624M,Buisson-Gallouen
QN07625M,Lalizel
QN07626M,Fécamp quartier du Ramponneau
QN07627N,Quartier Saint-Julien
QN07628N,Tourneville
QN07629N,Quartier Clairval
QN07701I,La Renardière
QN07702I,La Grande Prairie
QN07703M,Schweitzer - Laennec
QN07704M,Orly Parc
QN07705M,Les Deux Parc Luzard
QN07706I,L'Arche Guedon
QN07707M,Le Mail
QN07708M,La Plaine De Lys - Bernard De Poret
QN07709M,Les Courtilleraie - Le Circé
QN07710M,Plateau De Corbeil - Plein-Ciel
QN07711M,Les Mezereaux
QN07712M,L'Almont
QN07713M,Beauval Dunant
QN07714M,Surville
QN07715I,Les Fougères
QN07716I,Résidence Montmirail
QN07717M,Champbenoist
QN07718M,Anne Franck
QN07719I,Les Templiers
QN07720M,Mont Saint Martin
QN07721M,Quartier République Vilvaudé
QN07722M,Lugny Maronniers - Résidence Du Parc
QN07723M,Centre Ville - Quartier De L'Europe
QN07724N,Normandie - Niemen - Poitou
QN07725N,Coeur de Champagne
QN07801M,Val Fourré
QN07802M,Merisiers Plaisances
QN07803M,Domaine De La Vallée
QN07804M,Pont Du Routoir 2
QN07805M,Merisiers-Plaine De Neauphle
QN07806M,Jean Macé
QN07807M,Bois De L'Etang - Orly Parc
QN07808M,Oiseaux
QN07809M,Fleurs
QN07810M,Noe-Feucherets
QN07811M,Cité Du Parc
QN07812M,Centre-Sud
QN07813M,Alouettes
QN07814M,Plateau
QN07815M,Valibout
QN07816M,Friches
QN07817M,Beauregard
QN07818M,Saint Exupéry
QN07819M,Cinq Quartiers
QN07820M,Cité Renault - Centre Ville
QN07821N,Les Acacias
QN07822N,L'Avre
QN07901M,Clou Bouchet
QN07902I,Tour Chabot Gavacherie
QN07903M,Pontreau Colline Saint-André
QN07904M,Les Capucins
QN07905M,Valette
QN08001M,Etouvie
QN08002M,Pierre Rollin
QN08003M,Amiens Nord
QN08004M,Marcel Paul - Salamandre
QN08005M,Condorcet - Philéas Lebesgue
QN08006M,Les Parcheminiers
QN08007M,Soleil Levant - Bouleaux - Platanes
QN08008M,Espérance - Provinces - Lopofa - Québec
QN08009M,Les Argillières
QN08010N,Elbeuf-Lescouvé
QN08101M,La Falgalarié
QN08102M,Laden Petit Train
QN08103M,Lameilhé
QN08104M,Aillot Bisséous Lardaillé
QN08105M,Centre Ville
QN08106M,Cantepau
QN08107M,Veyrières Rayssac
QN08108M,Lapanouse
QN08109M,Rajol - Cérou - Gourgatieux - Bouloc - Verrerie
QN08110M,Lentajou - Catalanis
QN08111M,Crins - En Gach
QN08201I,Cœur de Ville
QN08202M,Médiathèque
QN08203M,Centre-Ville
QN08204M,Sarlac
QN08205N,Beausoleil-Bas
QN08301M,L'Agachon
QN08302M,Centre Ville
QN08303M,Les Collettes
QN08304M,Centre Ville
QN08305M,Romain Rolland
QN08306I,Centre Ville
QN08307M,Val Des Rougières
QN08308M,Berthe
QN08309M,Centre Ville
QN08310M,La Beaucaire
QN08311M,La Florane
QN08312M,Pontcarral
QN08313M,Pont Du Las - Rodeilhac
QN08314I,Beaulieu- Sainte Marie
QN08315M,Sainte Musse
QN08316I,Centre Ville
QN08317I,Le Jonquet - La Baume- Le Guynemer
QN08318M,La Gabelle
QN08319M,Centre Ville - Le Vergeiras
QN08320I,Centre Ville
QN08321M,Le Carami
QN08322N,La Rode
QN08323N,Saint-Jean-du-Var
QN08401M,Les Griffons - Centre ville
QN08402M,Monclar - Champfleury - Rocade Sud - Barbière - Croix des Oiseaux
QN08403M,Reine Jeanne - Saint Jean - Grange d'Orel
QN08404I,Saint Chamand
QN08405M,Camp Rambaud - Les Mérides - Joffre - Centre Ville
QN08406M,Centre ancien
QN08407M,Centre ville
QN08408M,Amandiers - Éléphant
QN08409M,Pous-du-Plan
QN08410M,Quintine - Villemarie - Bois de l'Ubac - Le Parc
QN08411I,Fourchevieillles - Comtadines - L'Aygues
QN08412I,Nogent - Saint Clément
QN08413I,Générat - Establet
QN08414I,Chaffunes
QN08415I,Vieux Moulin - Centre ville - Les Mûriers
QN08416M,Centre ancien - Saint Michel
QN08417I,Vallades - Rebenas - Clos Saint Michel - Capucins
QN08418I,Centre ancien - Les Tours - La Gaillarde - Mistral - Sévigné
QN08419I,Docteur Ayme - Condamines - Barillon - Saint Martin - Bon Puits - Saint Gilles - Ratacans
QN08420I,La Clède - Gare - Route de Pertuis - Sainte Anne
QN08421M,Centre Ancien - Giono
QN08422N,Pont des Deux Eaux
QN08423N,Broquetons - Sainte Catherine
QN08501I,Jean Yole - Pyramides
QN08502I,Vigne-aux-Roses
QN08503I,Liberté - Zola
QN08504I,Centre - Moulins Liots
QN08601M,Lac Renardières Ozon
QN08602M,Châteauneuf Centre Ville
QN08603M,Bel Air
QN08604M,Trois Cités
QN08605M,Couronneries Saint-Eloi
QN08606M,Beaulieu
QN08701M,Portes Ferrées
QN08702I,La Bastide
QN08703I,Le Sablard
QN08704I,Beaubreuil
QN08705I,Val de l'Aurence Sud
QN08706I,Val de l'Aurence Nord
QN08707I,Les Coutures
QN08708I,Bellevue
QN08709I,Le Vigenal
QN08801M,Bitola-La Vierge
QN08802M,Justice-Saut le Cerf
QN08803M,Le Haut Du Gras
QN08804M,Le Rhumont
QN08805M,Saint-Roch - L'Orme
QN08806M,Kellermann-Foucharupt
QN08901I,La Rive Droite
QN08902I,Les Brichères - Sainte Geneviève
QN08903M,Les Rosoirs
QN08904I,Pompidou-Ravel
QN08905I,La Madeleine
QN08906M,Arènes - Champs Plaisants
QN08907I,Les Chaillots
QN09001I,Bougenel - Mulhouse
QN09002M,Les Glacis Du Château
QN09003I,Dardel - La Méchelle
QN09004M,Les Résidences
QN09005M,Le Mont
QN09006M,Arsot - Rives du Martinet
QN09007N,La Pépinière
QN09101M,L'entre bois des roches
QN09102M,Les Tarterêts
QN09103M,Montconseil
QN09104M,La Nacelle - Papeterie
QN09105I,Rive Droite
QN09106M,Quartier Ouest
QN09107M,Les Ardrets - Branly
QN09108M,Les Aunettes - Les Résidences - Joncs Marins
QN09109I,La Grange Aux Cerfs
QN09110M,Les Aunettes
QN09111M,Les Hautes Mardelles
QN09112M,Plaine - Cinéastes
QN09113I,Le Vieillet
QN09114M,Bel Air - Rocade
QN09115M,Poterne - Zola
QN09116M,Le Canal
QN09117M,Pyramides - Bois Sauvage
QN09118M,Les Aunettes
QN09119M,Champtier Du Coq - Champs Elysées - Petit Bourg
QN09120M,Le Parc Aux Lièvres
QN09121M,Les Passages
QN09122M,Les Epinettes
QN09123M,Le Plateau
QN09124M,Plateau - Grande Borne
QN09125M,La Grande Borne
QN09126M,Grigny 2
QN09127M,Le Noyer Renard
QN09128M,Clos Nollet
QN09129M,Grand Vaux
QN09130M,Les Bergeries
QN09131I,La Forêt
QN09132M,La Croix Blanche
QN09133M,La Prairie De L'Oly
QN09134M,Quartier Sud
QN09135M,La longue mare
QN09136M,Plateau De Guinette
QN09137M,La Croix De Vernailles
QN09138M,Opéra
QN09139N,Edouard Vaillant
QN09140N,Quartier Est
QN09141N,Collénot - Marinière - Mouchotte
QN09142N,Léo Lagrange
QN09143N,Les Mazières
QN09144N,La Rénovation
QN09145N,Gare
QN09146N,Pré Barallon
QN09147N,Saint-Eloi
QN09201M,Université I
QN09202I,Université II
QN09203M,Noyer Doré
QN09204M,Cité Jardins
QN09205I,Chemin De L'Île
QN09206M,Le Parc
QN09207M,Abbé Grégoire - Mirabeau - Lincoln
QN09208M,Luth-Fossé
QN09209I,Fossés Jean
QN09210M,Hauts d'Asnières
QN09211M,Agnettes
QN09212I,Petit Colombes
QN09213M,Petit Nanterre
QN09214M,Les Grésilllons
QN09215M,Cap Villeneuve
QN09216M,Cité Des Musiciens
QN09217M,Audra - Musiciens
QN09218N,Secteur Anatole France
QN09219N,Les Blagis
QN09301I,Secteur Gare - Aviatic
QN09302M,Secteur Saint-Nicolas - Guynemer - Gai Logis
QN09303M,Haut Clichy - Centre Ville - Bosquets - Lucien Noel
QN09304M,Quartier Avenir Parisien
QN09305I,Quartiers La Muette - Village Parisien
QN09306I,Quartiers Economie - Les Oiseaux
QN09307M,Thorez - Larivière - Langevin - Moulin - Allende
QN09308M,La Capsulerie
QN09309M,Le Plateau - Les Malassis - La Noue
QN09310M,Les Courtillières - Pont-De-Pierre
QN09311M,Quartier Salengro - Gaston Roulaud - Centre Ville
QN09312I,Blanqui
QN09313I,Marnaudes - Fosse Aux Bergers - La Sablière
QN09314M,Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud
QN09315M,Trois Communes - Fabien
QN09316M,Branly - Boissière
QN09317M,Boissière - Saussaie-Beauclair
QN09318M,Bel Air - Grands Pêchers - Ruffins - Le Morillon
QN09319I,Jean Moulin - Espoir
QN09320M,Béthisy
QN09321I,Le Londeau
QN09322I,La Boissière
QN09323M,Sept Arpents - Stalingrad
QN09324I,Quatre Chemins
QN09325M,Marcel Cachin
QN09326I,Quartier de L'Horloge
QN09327I,Gagarine
QN09328M,Franc Moisin - Cosmonautes - Cristino Garcia - Landy
QN09329M,Centre Ville
QN09330M,Orgemont
QN09331M,La Source - Les Presles
QN09332M,Thorez-Géraux
QN09333I,Méchin - Bocage
QN09334I,Paul-Cachin
QN09335M,Centre Ville - Chatenay - Maroc - Poètes
QN09336I,Joncherolles - Fauvettes
QN09337M,Plaine - Landy - Bailly
QN09338M,Grand Centre - Sémard
QN09339M,Floréal Saussaie Allende
QN09340I,Plaine Trezel - Chaudron
QN09341M,Saint-Rémy - Joliot Curie - Bel Air
QN09342M,Langevin - Lavoisier - Tartres - Allende
QN09343I,Cordon
QN09344M,Michelet - Les Puces - Debain
QN09345I,Vieux Saint-Ouen
QN09346M,Pasteur - Arago - Zola
QN09347M,Centre Elargi
QN09348M,Quartier Politique De La Ville
QN09349M,Rougemont
QN09350I,Montceleux - Pont Blanc
QN09351M,Parc De La Noue - Picasso - Pasteur - Europe - Merisiers
QN09352I,Tremblay Grand Ensemble
QN09353M,Duclos-Sausset
QN09354M,Balagny
QN09355M,Les Beaudottes Savigny
QN09356I,Secteur Nord Pont-Yblon
QN09357M,Jean Moulin - Jean Bouin
QN09358I,Les Peupliers
QN09359M,Val Coteau
QN09360I,Mont d'Est - Palacio
QN09361I,Pavé-Neuf
QN09362I,Champy - Hauts Bâtons
QN09363I,Pré-Gentil
QN09364M,Marnaudes - Bois-Perrier
QN09365N,Calon
QN09366N,Cité du Nord - Butte
QN09367N,Paul Vaillant-Couturier Allende-Neruda
QN09368N,Quartier Pasteur
QN09369N,L'Eglise
QN09370N,Les Renouillères
QN09371N,La Fourche/Canal de l'Ourcq
QN09372N,Chanzy-Briand
QN09373N,Jaurès-Séverine
QN09374N,Quartier des Dahlias
QN09375N,Benoni
QN09401M,Pierre Et Marie Curie
QN09402M,Irlandais - Paul Vaillant Couturier - Cherchefeuille - Clément Ader
QN09403M,La Haie Griselle - La Hêtraie
QN09404M,Chantereine
QN09405M,Mont Mesly - La Habette - Coteaux Du Sud
QN09406I,Les Bleuets
QN09407I,Gagarine
QN09408M,Ivry Port
QN09409M,Monmousseau
QN09410M,Colonel Fabien
QN09411M,Centre Ville : Defresne - Vilmorin - Robespierre
QN09412M,Commune De Paris - 8 Mai 1945
QN09413M,Péri - Schuman Bergonié Martinets
QN09414M,Chaperon Vert
QN09415I,Jardins Parisiens
QN09416I,Jardins Parisiens - Stade
QN09417M,Alexandre Dumas
QN09418M,Lebon - Hochart - Mermoz (Lozaits Sud)
QN09419M,Lozaits Nord - Grimau - Armand Gouret
QN09420M,Fabien - Saint Exupéry
QN09421M,Les Quatre Cités
QN09422M,L'Egalité
QN09423I,Les Mordacs
QN09424I,Le Bois L'Abbé
QN09425I,Le Plateau
QN09426I,La Redoute (Le Fort-Michelet)
QN09427M,Les Larris - Jean Zay
QN09428M,Quartier Est
QN09429I,Quartier Sud
QN09430I,Rives De La Marne
QN09431M,Polognes-Centre Ville - Le Plateau - Saint-Martin
QN09432I,Lutèce - Bergerie
QN09433M,Centre Ville
QN09434I,Le Quartier Nord
QN09435I,HBM - Les Tours
QN09436M,Triage
QN09437M,Portes De Paris - Les Hautes-Noues
QN09438N,Fosse Rouge - Cité Verte
QN09439N,Grand Ensemble
QN09440N,Centre-Ville (Barbusse)
QN09441N,Pavé de Grignon
QN09442N,Les Sorbiers - Lallier
QN09443N,La Plaine
QN09444N,Vercors - Chastenet
QN09445N,Les Combattants
QN09446N,La Vallée aux Renards
QN09447N,Haut-Pays - La Grusie
QN09501M,Noyer Crapaud
QN09502I,Justice - Butte Blanche
QN09503I,Champioux
QN09504I,Brigadières - Henri Barbusse
QN09505M,Val D'Argent Nord
QN09506M,Val D'Argent Sud
QN09507I,Champagne
QN09508M,Joliot Curie
QN09509M,Centre Ville
QN09510M,Delaune Masson Colomb
QN09511M,Axe Majeur - Horloge
QN09512I,Les Dix Arpents
QN09513M,Le Moulinard
QN09514M,Marcouville
QN09515M,Louvrais
QN09516M,Chennevières - Parc Le Nôtre
QN09517M,Les Toupets - Côte Des Carrières
QN09518I,Les Lévriers
QN09519M,Centre Ville
QN09520I,Mare Des Noues
QN09521I,Montédour
QN09522M,Les Naquettes
QN09523M,Les Frances
QN09524M,Clos Saint Pierre Elargi
QN09525M,Bas Des Aulnaies - Carreaux Fleuris - Fontaine Bertin
QN09526M,Les Pins
QN09527M,Les Sarments Et Les Nérins - Jean Bouin
QN09528M,Cottage Elargi
QN09529M,Grandes Bornes Elargies
QN09530M,Terres de Garges
QN09531M,Lochères
QN09532M,Carreaux - Fauconnière - Marronniers - Pôle Gare
QN09533M,Saint Blin
QN09534M,Rosiers Chantepie
QN09535M,Village - Mozart
QN09536M,Village - Le Puits La Marlière - Derrière Les Murs De Monseigneur
QN09537M,Les Chênes
QN09538M,Le Village
QN09539M,Les Raguenets
QN09540N,Les Linandes
QN09541N,Bon temps - Terroir
QN09542N,Boyenval
